"Category","ID","Name (English)","Name (Arabic)","Description (English)","Description (Arabic)","Image Path","Facebook URL","Instagram URL","LinkedIn URL","Telegram URL","Telegram URL (Secondary)","Twitter/X URL","Website URL","WhatsApp URL","YouTube URL"
"Governorates","gov-sweida","As-Suwayda Governorate","محافظة السويداء","The southern governorate of Syria","المحافظة الجنوبية لسوريا","images/governorates/gov-sweida.webp","https://www.facebook.com/profile.php?id=61570584846604&mibextid=JRoKGi",,,"https://t.me/SweidaGov1",,,,"https://whatsapp.com/channel/0029Vb17Ihq002TEvkKYPW1Q",
"Governorates","gov-raqqa","Raqqa Governorate","محافظة الرقة","The northeastern governorate of Syria","المحافظة الشمالية الشرقية في سوريا","images/governorates/placeholder.webp",,,,,,,,,
"Governorates","gov-hasakah","Hasakah Governorate","محافظة الحسكة","The northeastern governorate bordering Iraq","المحافظة الشمالية الشرقية المتاخمة للعراق","images/governorates/placeholder.webp",,,,,,,,,
"Ministries","min-interior","Ministry of Interior","وزارة الداخلية السورية","The ministry responsible for internal security and civil affairs","الوزارة المسؤولة عن الأمن الداخلي والشؤون المدنية","images/ministries/emblem.svg","https://www.facebook.com/share/18cBGB8ZKj/",,,"https://t.me/syrianmoi",,"https://twitter.com/syrianmoi",,,
"Ministries","min-foreign","Ministry of Foreign Affairs","وزارة الخارجية والمغتربين في الجمهورية العربية السورية","The ministry responsible for foreign relations and expatriate affairs","الوزارة المسؤولة عن العلاقات الخارجية وشؤون المغتربين","images/ministries/emblem.svg","https://www.facebook.com/Mofaexsy","https://www.instagram.com/syrianmofaex1",,"https://t.me/syrianmofaex1",,"https://x.com/syrianmofaex",,,
"Ministries","min-defense","Ministry of Defense","وزارة الدفاع السورية","The ministry responsible for national defense and military affairs","الوزارة المسؤولة عن الدفاع الوطني والشؤون العسكرية","images/ministries/emblem.svg","https://www.facebook.com/share/16EFpKn3Sk/",,,"https://t.me/Sy_Defense",,"https://twitter.com/Sy_Defense",,,
"Ministries","min-justice","Ministry of Justice","وزارة العدل السورية","The ministry responsible for judicial affairs and legal matters","الوزارة المسؤولة عن الشؤون القضائية والمسائل القانونية","images/ministries/emblem.svg","https://www.facebook.com/share/1ExHwmbSiH/",,,"https://t.me/MOjustice",,"https://twitter.com/al_dl79629",,,
"Ministries","min-economy","Ministry of Economy","وزارة الاقتصاد والصناعة السورية","The ministry responsible for economic and industrial affairs","الوزارة المسؤولة عن الشؤون الاقتصادية والصناعية","images/ministries/emblem.svg",,,,"https://t.me/MOEAFT",,,,,
"Ministries","min-energy","Ministry of Energy","وزارة الطاقة السورية","The ministry responsible for energy resources and power generation","الوزارة المسؤولة عن موارد الطاقة وتوليد الكهرباء","images/ministries/emblem.svg","https://www.facebook.com/share/1AGLafKVQw/",,,"https://t.me/mopmr_syria",,"https://twitter.com/mopmr_syria",,,
"Ministries","min-education","Ministry of Education","وزارة التربية والتعليم السورية","The ministry responsible for primary and secondary education","الوزارة المسؤولة عن التعليم الأساسي والثانوي","images/ministries/emblem.svg","https://www.facebook.com/share/18tXs9xxZw/",,,"https://t.me/TrbyaGov",,"https://twitter.com/TrbyaGov",,,
"Ministries","min-higher-education","Ministry of Higher Education","وزارة التعليم العالي والبحث العلمي السورية","The ministry responsible for higher education and scientific research","الوزارة المسؤولة عن التعليم العالي والبحث العلمي","images/ministries/emblem.svg","https://www.facebook.com/share/15CNqFcnfc/",,,"https://t.me/mohesyria",,"https://twitter.com/mohesyria1",,,
"Ministries","min-health","Ministry of Health","وزارة الصحة السورية","The ministry responsible for healthcare and medical services","الوزارة المسؤولة عن الرعاية الصحية والخدمات الطبية","images/ministries/emblem.svg","https://www.facebook.com/share/18frAotGfp/",,,"https://t.me/mohsyria",,"https://x.com/mohsyria12",,,
"Ministries","min-social-affairs","Ministry of Social Affairs and Labor","وزارة الشؤون الاجتماعية والعمل السورية","The ministry responsible for social welfare and labor affairs","الوزارة المسؤولة عن الرعاية الاجتماعية وشؤون العمل","images/ministries/emblem.svg","https://www.facebook.com/share/1AfW99wJTQ/",,,"https://t.me/mosal_syria",,"https://twitter.com/mosal_syria",,,
"Ministries","min-public-works","Ministry of Public Works and Housing","وزارة الأشغال العامة والإسكان السورية","The ministry responsible for public works and housing projects","الوزارة المسؤولة عن الأشغال العامة ومشاريع الإسكان","images/ministries/emblem.svg",,,,"https://t.me/MOPWAH",,,,,
"Ministries","min-transport","Ministry of Transport","وزارة النقل السورية","The ministry responsible for transportation and infrastructure","الوزارة المسؤولة عن النقل والبنية التحتية","images/ministries/emblem.svg","https://www.facebook.com/share/1685F3H6bp/",,,"https://t.me/mo_mab",,"https://twitter.com/AlnqlWzart",,,
"Ministries","min-agriculture","Ministry of Agriculture","وزارة الزراعة والإصلاح الزراعي السوري","The ministry responsible for agricultural development and reform","الوزارة المسؤولة عن التنمية الزراعية والإصلاح الزراعي","images/ministries/emblem.svg","https://www.facebook.com/share/16M4y35ibi/",,,"https://t.me/MinistryOfAgricultureS",,,,,
"Ministries","min-culture","Ministry of Culture","وزارة الثقافة السورية","The ministry responsible for cultural affairs and heritage","الوزارة المسؤولة عن الشؤون الثقافية والتراث","images/ministries/emblem.svg",,,,"https://t.me/MinistryOfCultureS",,,,,
"Ministries","min-youth-sports","Ministry of Youth and Sports","وزارة الرياضة والشباب السورية","The ministry responsible for youth affairs and sports development","الوزارة المسؤولة عن شؤون الشباب وتنمية الرياضة","images/ministries/emblem.svg","https://www.facebook.com/share/1EPDgsxB2X/",,,"https://t.me/GSportsFederation",,,,,
"Ministries","min-emergency","Ministry of Emergency and Disasters","وزارة الطوارئ والكوارث","The ministry responsible for emergency response and disaster management","الوزارة المسؤولة عن الاستجابة للطوارئ وإدارة الكوارث","images/ministries/emblem.svg","https://www.facebook.com/share/1XNGuietPF/",,,"https://t.me/MOEADMS",,"https://x.com/MOEADMSy?t=JXNsvw7KZFgsPfUgcpAhyw&s=09",,,
"Ministries","min-information","Ministry of Information","وزارة الإعلام السورية","The ministry responsible for media and information affairs","الوزارة المسؤولة عن شؤون الإعلام والمعلومات","images/ministries/emblem.svg","https://www.facebook.com/share/19LMr7oUQ5/",,,"https://t.me/moi_sy",,"https://twitter.com/moi_syria1",,,
"Ministries","min-communications","Ministry of Communications and Information Technology","وزارة الاتصالات وتقانة المعلومات السورية","The ministry responsible for communications and IT infrastructure","الوزارة المسؤولة عن الاتصالات والبنية التحتية لتقنية المعلومات","images/ministries/emblem.svg","https://www.facebook.com/share/1ABqbSKr9R/",,,"https://t.me/moct_gov",,"https://twitter.com/moctsyria",,,
"Ministries","min-finance","Ministry of Finance","وزارة المالية السورية","The ministry responsible for financial affairs and budget management","الوزارة المسؤولة عن الشؤون المالية وإدارة الميزانية","images/ministries/emblem.svg","https://www.facebook.com/share/18ftW3ZKBz/",,,"https://t.me/FinanceSYR",,"https://twitter.com/FinanceSYR",,,
"Ministries","min-local-administration","Ministry of Local Administration and Environment","وزارة الادارة المحلية والبيئة السورية","The ministry responsible for local governance and environmental affairs","الوزارة المسؤولة عن الحكم المحلي والشؤون البيئية","images/ministries/emblem.svg",,,,"https://t.me/molasy",,"https://twitter.com/molasy19",,,
"Ministries","min-administrative-development","Ministry of Administrative Development","وزارة التنمية الإدارية السورية","The ministry responsible for administrative reform and development","الوزارة المسؤولة عن الإصلاح الإداري والتنمية","images/ministries/emblem.svg",,,,"https://t.me/moa128",,"https://twitter.com/tnmyaedarya",,,
"Ministries","min-ministry-of-endowments","Ministry of Endowments","وزارة الأوقاف السورية","The ministry responsible for religious endowments and affairs","الوزارة المسؤولة عن الأوقاف والشؤون الدينية","images/ministries/emblem.svg","https://www.facebook.com/share/1AQhpU6fbE/",,,"https://t.me/awpaf1",,"https://twitter.com/MOfEndowments",,,
"Ministries","min-industry","Ministry of Industry","وزارة الصناعة السورية","The ministry responsible for industrial development and production","الوزارة المسؤولة عن التنمية الصناعية والإنتاج","images/ministries/emblem.svg",,,,"https://t.me/tusrt",,,,,
"Ministries","min-tourism","Ministry of Tourism","وزارة السياحة السورية","The ministry responsible for tourism development and promotion","الوزارة المسؤولة عن تنمية السياحة والترويج","images/ministries/emblem.svg",,,,"https://t.me/MinistryOfTourism",,,,,
"Ministries","min-electricity","Ministry of Electricity","وزارة الكهرباء السورية","The ministry responsible for electricity generation and distribution","الوزارة المسؤولة عن توليد وتوزيع الكهرباء","images/ministries/emblem.svg",,,,"https://t.me/MinistryOfElectricity",,,,,
"Ministers","pf-albasheir","EM Albasheir","وزير الطاقة محمد البشير","Minister of Energy in the Syrian Arab Republic","وزير الطاقة في الجمهورية العربية السورية","images/public_figures/pf-albasheir.webp",,,,,,"https://x.com/EMAlbasheir",,,
"Ministers","s","Mustafa Abdelrazak","مصطفى عبد الرزاق","Minister of Public Works and Housing in the Syrian Arab Republic","وزير الأشغال العامة والإسكان في الجمهورية العربية السورية","images/public_figures/pf-mustafa.webp",,,,,,"https://x.com/MustafaAR_sy","https://www.mopwh.gov.sy/",,
"Ministers","pf-asaad-alshaibani","Assad Alshaibani","أسعد الشيباني","Minister of Foreign Affairs of Syria","وزير الخارجية السوري","images/public_figures/pf-asaad-alshaibani.webp",,"https://www.instagram.com/asaad.alshaibani",,,,"https://x.com/AsaadHShaibani",,,
"Ministers","pf-mazhar-alwais","Dr. Mazhar Alwais","د.مظهر الويس","Minister of Justice of Syria","وزير العدل السوري","images/public_figures/pf-mazhar-alwais.webp",,,,"https://t.me/Shami551",,"https://twitter.com/maabdwalshamee1",,,
"Ministers","pf-raed-alsaleh","Raed Al Saleh","رائد الصالح","Minister of Emergency and Disasters in the Syrian Arab Republic","وزير الطوارئ والكوارث في الجمهورية العربية السورية","images/public_figures/pf-raed-alsaleh.webp",,,"https://www.linkedin.com/in/raed-alsaleh-68590ab8",,,"https://twitter.com/RaedAlSaleh3",,,
"Ministers","pf-mohammad-saleh","Mohammad Yassin Saleh","محمد ياسين صالح","Minister of Culture of Syria","وزير الثقافة السوري","images/public_figures/pf-mohammad-saleh.webp",,"https://www.instagram.com/muhammadsaleeh_/?hl=en",,,,"https://twitter.com/AL_SAALEH",,,
"Ministers","pf-hind-kabawat","Hind Kabawat","هند قبوات","Minister of Social Affairs and Labor of Syria","وزيرة الشؤون الإجتماعيّة والعمل السورية","images/public_figures/pf-hind-kabawat.webp",,,"https://www.linkedin.com/in/hind-aboud-kabawat-9a084b53/",,,"https://twitter.com/HindKabawat",,,
"Ministers","pf-abdulsalam-haykal","Abdulsalam Haykal","عبدالسلام هيكل","Minister of Communications and Information Technology of Syria","وزير الاتصالات وتقنية المعلومات السوري","images/public_figures/pf-abdulsalam-haykal.webp",,,"https://www.linkedin.com/in/abdulsalamhaykal/",,,"https://twitter.com/amhaykal",,,
"Ministers","pf-anas-khatab","Anas Hassan Khatab","أنس حسان خطاب","Minister of Interior and Security of Syria","وزير الداخلية والأمن السوري","images/public_figures/pf-anas-khatab.webp",,,,,,"https://twitter.com/Anas_Khatab_sy",,,
"Ministers","pf-marwan-alhalabi","Prof. Dr. Marwan Al-Halabi","الأستاذ الدكتور مروان الحلبي","Minister of Higher Education","وزير التعليم العالي","images/public_figures/pf-marwan-alhalabi.webp","https://www.facebook.com/share/16F1eLAC8k/","https://www.instagram.com/marwanalhalabi/","https://www.linkedin.com/in/marwanalhalabi",,,,,,
"Ministers","pf-mohammed-abu-khair-shukri","Mohammed Abu Al-Khair Shukri","محمد أبو الخير شكري","Minister of Endowments of Syria","وزير الأوقاف السوريّ","images/public_figures/pf-mohammed-abu-khair-shukri.webp",,,,,,"https://twitter.com/mhdchukri",,,
"Ministers","pf-hamzah-almustafa","Hamzah Almustafa","حمزة المصطفى","Minister of Information in the Syrian Arab Republic","وزير الإعلام في الجمهورية العربية السورية","images/public_figures/pf-hamzah-almustafa.webp",,,,,,"https://twitter.com/HmzhMo",,,
"Ministers","pf-yarob-badr","Yarob Badr","يعرب بدر","Minister of Transport","وزير النقل","images/public_figures/pf-yarob-badr.webp",,,"https://www.linkedin.com/in/yarob-badr-08b4986",,,,,,
"Ministers","pf-yisr-barnieh","Yisr Barnieh","يسر برنية","Minister of Finance","وزير المالية","images/public_figures/pf-yisr-barnieh.webp",,,"https://www.linkedin.com/in/yisr-barnieh-3846a88a",,,,,,
"Ministers","pf-nedal-alchaar","Nedal Alshaar","نضال الشعار","Minister of Economy and Industry of Syria","وزير الاقتصاد والصناعة السوري","images/public_figures/pf-nedal-alchaar.webp","https://www.facebook.com/Drnedal.alchaar",,,,,,,,
"Ministers","pf-murhaf-abuqasra","Murhaf Abuqasra","المهندس مرهف أبو قصرة","Minister of Defense of the Syrian Arab Republic","وزير الدفاع في الجمهورية العربية السورية","images/public_figures/pf-murhaf-abuqasra.webp",,,,,,"https://x.com/Murhaf_abuqasra",,,
"Ministers","pf-mohamad-anjrani","Eng. Mohamad Anjrani","المهندس محمد عنجراني","Minister of Local Administration and Environment","وزير الإدارة المحلية والبيئة","images/public_figures/pf-mohamad-anjrani.webp","https://www.facebook.com/share/1AYiSrjwgt/","https://www.instagram.com/mohamad.anjrani",,,,"https://x.com/mohamad_anjrani",,,
"Ministers","pf-mhd-alskaf","Mohammed Hassan Al Skaf","محمد حسان السكاف","Minister of Administrative Development in the Syrian Arab Republic","وزير التنمية الادارية في الجمهورية العربية السورية","images/public_figures/pf-mhd-alskaf.webp",,,,,,"https://twitter.com/Mhd_AlSkaf",,,
"Ministers","pf-musaab-alali","Musaab Alali","مصعب العلي","Minister of Health in the Syrian Arab Republic","وزير الصحة في الجمهورية العربية السورية","images/public_figures/pf-musaab-alali.webp",,,,,,"https://twitter.com/Musaab_Al_Ali",,,
"Public_Figures","pf-anas-airout","Dr. Anas Airout","د. أنس عيروط","عضو مجلس الإفتاء الأعلى في الجمهورية العربية السورية",,"images/public_figures/pf-anas-airout.webp",,,,,,"https://twitter.com/anasairout2",,,
"Public_Figures","pf-nour-albaba","Nour Al-Baba","نور الدين البابا","Spokesman for the Syrian Ministry of Interior","المتحدث باسم وزارة الداخلية السورية","images/public_figures/pf-nour-albaba.webp","https://www.facebook.com/share/1EeHEUoeJv/",,,"https://t.me/SyrianMoiSpokesman",,"https://x.com/SyrianMoiSpokes",,,
"Public_Figures","pf-mohamad-alahmad","Dr. Mohamad Alahmad","د. محمد الأحمد","Director of Arab Affairs at the Syrian Ministry of Foreign Affairs","مدير إدارة الشؤون العربية في وزارة الخارجية والمغتربين السورية","images/public_figures/pf-mohamad-alahmad.webp",,,,,,"https://x.com/Mohamad29169351",,,
"Public_Figures","pf-ahmed-dalati","Ahmed Dalati","أحمد الدالاتي","المسؤول الأمني في محافظة السويداء",,"images/public_figures/pf-ahmed-dalati.webp",,,,,,"https://twitter.com/ah_dalati",,,
"Public_Figures","pf-hasan-soufan","Hasan Soufan","حسن صوفان","عضو اللجنة العليا للسلم الأهلي",,"images/public_figures/pf-hasan-soufan.webp",,,,,,"https://twitter.com/hasan0soufan",,,
"Public_Figures","pf-houda-atassi","Houda Atassi","هدى الاتاسي","اللجنة التحضيرية لمؤتمر الحوار الوطني السوري",,"images/public_figures/pf-houda-atassi.webp",,,,,,"https://twitter.com/HoudaAtassi",,,
"Public_Figures","pf-hasan-daghim","Hasan Daghim","حسن الدغيم","اللجنة التحضيرية لمؤتمر الحوار الوطني السوري",,"images/public_figures/pf-hasan-daghim.webp",,,,,,"https://twitter.com/Hasan_Dagim",,,
"Public_Figures","pf-hasan-abdulghani","Colonel Hasan Abdulghani","العقيد حسن عبد الغني","المتحدث باسم وزارة الدفاع السورية",,"images/public_figures/pf-hasan-abdulghani.webp",,,,,,"https://twitter.com/hasanabdalgany",,,
"Public_Figures","pf-obaida-arnaout","Obaida Arnaout","عبيدة الأرناؤوط","مدير مكتب الشؤون السياسية - حمص",,"images/public_figures/pf-obaida-arnaout.webp",,,,,,"https://twitter.com/obaidaarnaout",,,
"Public_Figures","pf-abdulrahman-alamaa","Abdulrahman Alamaa","عبد الرحمن الأعمى","محافظ حمص",,"images/public_figures/pf-abdulrahman-alamaa.webp",,,,,,"https://twitter.com/abulrhmanalamaa",,,
"Public_Figures","pf-aisha-aldebs","Aisha AlDebs","عائشة الدبس","رئيسة مكتب شؤون المرأة",,"images/public_figures/pf-aisha-aldebs.webp",,,,,,"https://twitter.com/Aisha_AlDebs",,,
"Public_Figures","pf-osama-alrefaee","Osama Abdul Karim Al-Refaee","أسامة عبد الكريم الرفاعي","المفتي العام للجمهورية العربية السورية",,"images/public_figures/pf-osama-alrefaee.webp","https://www.facebook.com/osama.alrefaee.22",,,,,,,,
"Public_Figures","pf-amer-alsheikh","Amer Al-Sheikh (Abu Ubaida)","عامر الشيخ (أبو عبيدة)","محافظ ريف دمشق",,"images/public_figures/pf-amer-alsheikh.webp",,,,,,"https://twitter.com/AmerAlsheikh0",,,
"Public_Figures","pf-saad-naasan","Saad Naasan","سعد نعسان","المدير العام لمديرية الشؤون السياسية في محافظة حلب",,"images/public_figures/pf-saad-naasan.webp",,,,,,"https://twitter.com/sn_syria",,,
"Public_Figures","pf-baker-shakaki","Baker Shakaki","بكر شققي","Director of Political Affairs in Hama Governorate","مدير الشؤون السياسية في محافظة حماة","images/public_figures/pf-baker-shakaki.webp",,,,,,"https://x.com/bakershakaki",,,
"Public_Figures","pf-mohammad-alfar","Mohammad Abdullah Al Far","محمد عبدالله الفار","Director of Public Relations at the Ministry of Foreign Affairs","مدير العلاقات العامة في وزارة الخارجية والمغتربين","images/public_figures/pf-mohammad-alfar.webp","https://www.facebook.com/people/%D9%85%D8%AD%D9%85%D8%AF-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87-%D8%A7%D9%84%D9%81%D8%A7%D8%B1/61576633479102/",,,,,,,,
"Public_Figures","pf-mohammed-kahala","Mohammed Kahala","محمد كحالة","Director of the General Secretariat for Political Affairs","مدير الأمانة العامة للشؤون السياسية","images/public_figures/pf-mohammed-kahala.webp",,,,,,"https://x.com/Mhkahala",,,
"Public_Figures","pf-mohammed-khalaf","Mohammed Khalaf","محمد الخلف","Director of the General Secretariat for Political Affairs in Idlib Governorate","مدير إدارة الشؤون السياسية في محافظة إدلب","images/public_figures/pf-mohammed-khalaf.webp",,,,,,"https://x.com/IdlebPolitical",,,
"Public_Figures","pf-abdulrahman-aldabbagh","Abdul Rahman Al-Dabbagh","عبد الرحمن الدباغ","مدير مديرية أمن دمشق",,"images/public_figures/pf-abdulrahman-aldabbagh.webp","https://www.facebook.com/share/1USkGfVmpn/",,,,,,,,
"Public_Figures","pf-ali-alrefaee","Ali Al-Refaee","علي الرفاعي","مدير العلاقات العامة في وزارة الإعلام",,"images/public_figures/pf-ali-alrefaee.webp","https://www.facebook.com/share/19PncFKZFs/",,,,,,,,
"Public_Figures","pf-mazen-alloush","Mazen Alloush","مازن علوش","مدير العلاقات العامة في الهيئة العامة للمنافذ البرية والبحرية",,"images/public_figures/pf-mazen-alloush.webp","https://www.facebook.com/share/16HoM5MC61/",,,,,,,,
"Public_Figures","pf-abdulkader-husrieh","Dr. Abdulkader Husrieh","د. عبد القادر الحصرية","حاكم مصرف سوريا المركزي",,"images/public_figures/pf-abdulkader-husrieh.webp",,,"https://www.linkedin.com/in/abdulkader-husrieh",,,,,,
"Public_Figures","pf-rasha-sirop","Dr. Rasha Sirop","الدكتورة رشا سيروب","Executive Advisor at the Ministry of Economy and Industry for Policy and Performance Control","مستشار تنفيذي في وزارة الاقتصاد والصناعة لشؤون السياسات وضبط الأداء","images/public_figures/pf-rasha-sirop.webp","https://www.facebook.com/rasha.sirop",,,,,,,,
"Public_Figures","pf-razi-mohialdeen","Dr. Razi Mohialdeen","الدكتور رازي محي الدين","Executive Advisor at the Ministry of Economy and Industry for Planning and Follow-up","مستشار تنفيذي في وزارة الاقتصاد والصناعة لشؤون التخطيط والمتابعة","images/public_figures/pf-razi-mohialdeen.webp","https://www.facebook.com/drrazi.mohialdeen.7",,,,,,,,
"Public_Figures","pf-george-khouzam","Mr. George Khouzam","السيد جورج خزام","Executive Advisor at the Ministry of Economy and Industry for Liquidity and Monetary Affairs","مستشار تنفيذي في وزارة الاقتصاد والصناعة لشؤون السيولة والنقد","images/public_figures/pf-george-khouzam.webp","https://www.facebook.com/george.khouzam.7",,,,,,,,
"Public_Figures","pf-munaff-koman","Mr. Munaff Koman","السيد مناف كومان","Executive Advisor at the Ministry of Economy and Industry for Infrastructure and Institutional Reconstruction","مستشار تنفيذي في وزارة الاقتصاد والصناعة لشؤون البنية التحتية وإعادة بناء المؤسسات","images/public_figures/pf-munaff-koman.webp","https://www.facebook.com/munaff.koman.3",,,,,,,,
"Public_Figures","pf-alaeddin-jabal","Alaeddin Jabal","المستشار علاء الدين جبل","Executive Advisor at the Ministry of Economy and Industry for Training and Qualification","مستشار تنفيذي في وزارة الاقتصاد والصناعة لشؤون التدريب والتأهيل","images/public_figures/pf-alaeddin-jabal.webp","https://www.facebook.com/alaeddin.jabal.9",,,,,,,,
"Public_Figures","pf-baraa-shukri","Baraa Shukri","براء شكري","Director of the Consular and Expatriates Department at the Syrian Ministry of Foreign Affairs","مدير الإدارة القنصلية والمغتربين في الخارجية السورية","images/public_figures/pf-baraa-shukri.webp",,,,,,"https://x.com/baraashukri/",,,
"Public_Figures","pf-abdul-qader-tahan","General Abdul Qader Tahan","اللواء عبد القادر طحان","Assistant Minister of Interior for Security Affairs","معاون وزير الداخلية للشؤون الأمنية","images/public_figures/pf-abdul-qader-tahan.webp","https://www.facebook.com/share/p/16a3xE63Y3/","https://www.instagram.com/p/DKFC2qMNo0_/",,,,"https://x.com/mgatahhan",,,
"Syndicates","synd-lawyers","Syrian Bar Association","نقابة المحامين","The professional association for lawyers in Syria","النقابة المهنية للمحامين في سوريا","images/syndicates/synd-lawyers.webp","https://www.facebook.com/share/1PtEPs8Rnd/",,,,,,,,
"Syndicates","synd-dentists","Syrian Dentists Syndicate","نقابة أطباء الأسنان","The professional association for dentists in Syria","النقابة المهنية لأطباء الأسنان في سوريا","images/syndicates/synd-dentists.webp","https://www.facebook.com/share/1AGUMLAfeD/",,,,,,,,
"Syndicates","synd-pharmacists","Syrian Pharmacists Syndicate","نقابة صيادلة سوريا","The professional association for pharmacists in Syria","النقابة المهنية للصيادلة في سوريا","images/syndicates/synd-pharmacists.webp","https://www.facebook.com/share/19M4n6EM3E/",,,,,,,,
"Syndicates","synd-doctors","Syrian Doctors Syndicate","نقابة أطباء سوريا","The professional association for doctors in Syria","النقابة المهنية للأطباء في سوريا","images/syndicates/synd-doctors.webp","https://www.facebook.com/share/18LcBRxNfU/",,,,,,,,
"Syndicates","synd-engineers","Syrian Engineers Syndicate","نقابة المهندسين","The professional association for engineers in Syria","النقابة المهنية للمهندسين في سوريا","images/syndicates/synd-engineers.webp","https://www.facebook.com/share/1ABpA9cctz/",,,,,,,,
"Universities","uni-virtual","Syrian Virtual University","الجامعة الافتراضية السورية","The first virtual university in Syria offering online education","أول جامعة افتراضية في سوريا تقدم التعليم عن بعد","images/universities/uni-virtual.webp","https://www.facebook.com/share/19zaMsCdXk/",,,,,,,,
"Universities","uni-damascus","Damascus University","جامعة دمشق","The oldest and largest university in Syria","أقدم وأكبر جامعة في سوريا","images/universities/uni-damascus.webp","https://www.facebook.com/share/1FHR31osxR/",,,,,,,,
"Universities","uni-aleppo","Aleppo University","جامعة حلب","The second largest university in Syria","ثاني أكبر جامعة في سوريا","images/universities/uni-aleppo.webp","https://www.facebook.com/share/1Dki3sE5Yo/",,,,,,,,
"Universities","uni-idlib","Idlib University","جامعة إدلب","A public university serving the Idlib region","جامعة حكومية تخدم منطقة إدلب","images/universities/uni-idlib.webp","https://www.facebook.com/share/1AUNjzQvhU/",,,,,,,,
"Universities","uni-homs","Homs University","جامعة حمص","A public university serving the Homs region","جامعة حكومية تخدم منطقة حمص","images/universities/uni-homs.webp","https://www.facebook.com/share/19bwcbZYEC/",,,,,,,,
